ID,Video,Lat,Lon,Conf,Photo
1,test,48.15001068401598,17.06583273996004,0.76675284,pothole_1_test.jpg
2,test,48.15000959380619,17.065836355744256,0.7924034,pothole_2_test.jpg
3,test,48.15000558931069,17.06584451068931,0.77943206,pothole_3_test.jpg
4,test,48.1499829981019,17.06590672897103,0.9316601,pothole_4_test.jpg
5,test,48.149970465134864,17.06595457892108,0.83400196,pothole_5_test.jpg
6,test,48.14996514855145,17.065977787312686,0.8717688,pothole_6_test.jpg
7,test,48.1505817,17.06679057192807,0.7930753,pothole_7_test.jpg
8,test,48.15061703296703,17.06683157912088,0.80006427,pothole_8_test.jpg
9,test,48.15061498171828,17.06682792257742,0.84598947,pothole_9_test.jpg
10,test,48.15061012127872,17.066821189010987,0.84037894,pothole_10_test.jpg
11,test,48.1506175036963,17.06685534065934,0.7666444,pothole_11_test.jpg
12,test,48.150617986013984,17.06688375594406,0.86579037,pothole_12_test.jpg
13,test,48.15070582607392,17.06711751948052,0.8875124,pothole_13_test.jpg
14,test,48.15071514425574,17.067146321278724,0.81788784,pothole_14_test.jpg
15,test,48.1506418027972,17.067890019380616,0.86477154,pothole_15_test.jpg
16,test,48.15065258041958,17.06787877972028,0.9316211,pothole_16_test.jpg
